## child_poverty
{
  "url": "https://www.ons.gov.uk/explore-local-statistics/api/v1/data.csv?indicator=children-in-relative-poverty-after-housing&time=all",
  "path": "discovery/raw/child_poverty.csv",
  "content_type": null,
  "bytes": 40864
}
lines=825
areacd,areanm,period,value
E06000001,Hartlepool,2023-04-01/P1Y,33.77417755
E06000001,Hartlepool,2024-04-01/P1Y,31.9456428
E06000002,Middlesbrough,2023-04-01/P1Y,41.25493442
E06000002,Middlesbrough,2024-04-01/P1Y,38.73811473
E06000003,Redcar and Cleveland,2023-04-01/P1Y,31.36615181
E06000003,Redcar and Cleveland,2024-04-01/P1Y,31.32569964
E06000004,Stockton-on-Tees,2023-04-01/P1Y,26.84695227
E06000004,Stockton-on-Tees,2024-04-01/P1Y,26.24025827
E06000005,Darlington,2023-04-01/P1Y,28.81338895
E06000005,Darlington,2024-04-01/P1Y,28.72255489
E06000006,Halton,2023-04-01/P1Y,27.8275453
E06000006,Halton,2024-04-01/P1Y,28.25524576
E06000007,Warrington,2023-04-01/P1Y,19.75947633
E06000007,Warrington,2024-04-01/P1Y,19.30433461
E06000008,Blackburn with Darwen,2023-04-01/P1Y,41.02251303
E06000008,Blackburn with Darwen,2024-04-01/P1Y,38.50699339
E06000009,Blackpool,2023-04-01/P1Y,40.75676526
E06000009,Blackpool,2024-04-01/P1Y,39.16777266
E06000010,"Kingston upon Hull, City of",2023-04-01/P1Y,37.89881993
E06000010,"Kingston upon Hull, City of",2024-04-01/P1Y,37.18860568
E06000011,East Riding of Yorkshire,2023-04-01/P1Y,21.71303181
E06000011,East Riding of Yorkshire,2024-04-01/P1Y,21.60614273
E06000012,North East Lincolnshire,2023-04-01/P1Y,36.88713059
E06000012,North East Lincolnshire,2024-04-01/P1Y,35.52990274
E06000013,North Lincolnshire,2023-04-01/P1Y,30.78283655
E06000013,North Lincolnshire,2024-04-01/P1Y,30.14655257
E06000014,York,2023-04-01/P1Y,17.79859485
E06000014,York,2024-04-01/P1Y,18.19555789
E06000015,Derby,2023-04-01/P1Y,33.80735474
-- matches: United Kingdom
K02000001,United Kingdom,2023-04-01/P1Y,26.29050622
K02000001,United Kingdom,2024-04-01/P1Y,25.95511921
-- matches: England
E12000006,East of England,2023-04-01/P1Y,23.4542216
E12000006,East of England,2024-04-01/P1Y,23.38190257
E47000009,West of England,2023-04-01/P1Y,21.6709028
E47000009,West of England,2024-04-01/P1Y,21.20674669
